C1,C2,Bounty,Strength
As,Ah,A,1.2833
Ks,Kh,K,1.2318
Qs,Qh,Q,1.19295
Js,Jh,J,1.1718
Ts,Th,T,1.12165
9s,9h,9,1.0723
8s,8h,8,1.0346
As,Ah,J,1.00785
As,Ah,3,1.00675
As,Ah,2,1.0053
As,Ah,5,1.00515
As,Ah,7,1.0051
As,Ah,8,1.0019
As,Ah,4,1.0017
As,Ah,T,1.0012
Ks,As,A,1.00095
7s,7h,7,1.00025
As,Ah,K,0.9998
As,Ah,6,0.99925
As,Ah,Q,0.9978
As,Ah,9,0.9958
Ks,As,K,0.98985
Qs,As,A,0.98705
Ks,Ah,A,0.97735
Js,As,J,0.97555
Ks,Kh,7,0.97525
Ks,Kh,9,0.97485
Qs,As,Q,0.97245
Ts,As,T,0.96935
Ks,Ah,K,0.96915
Ks,Kh,2,0.9675
Ks,Kh,8,0.96725
Ks,Kh,3,0.9669
Ks,Kh,6,0.96635
Ks,Kh,T,0.9657
Ts,As,A,0.9648
Js,As,A,0.964
Ks,Kh,Q,0.9639
Ks,Kh,J,0.96385
Qs,Ah,A,0.9635
Ks,Kh,4,0.961
Ks,Kh,A,0.96055
Ks,Kh,5,0.96015
Qs,Ah,Q,0.95895
Qs,Ks,K,0.95545
Js,Ah,A,0.95515
Qs,Qh,J,0.95005
Qs,Qh,T,0.9485
Qs,Ks,Q,0.94725
Js,Ah,J,0.94405
Qs,Qh,5,0.9435
Qs,Qh,8,0.94185
Qs,Qh,6,0.94155
Qs,Qh,2,0.9412
Qs,Qh,A,0.93955
6s,6h,6,0.9385
Js,Ks,J,0.9381
Qs,Qh,4,0.9377
9s,As,A,0.9359
Qs,Qh,9,0.93495
Qs,Qh,7,0.9344
Qs,Qh,3,0.93375
Ts,Ah,T,0.93125
Qs,Qh,K,0.93055
8s,As,8,0.92765
9s,As,9,0.9268
Js,Ks,K,0.92455
Qs,Kh,Q,0.92185
Ts,Ks,K,0.9189
8s,As,A,0.91555
Ts,Ks,T,0.9146
Qs,Kh,K,0.9144
Ts,Ah,A,0.9108
Js,Jh,T,0.9107
Js,Jh,8,0.91025
Js,Kh,J,0.9092
Js,Jh,K,0.90855
Js,Jh,4,0.9071
Js,Jh,2,0.9063
Js,Jh,9,0.9062
9s,Ah,9,0.90585
Js,Kh,K,0.90555
Js,Jh,7,0.90525
9s,Ks,K,0.9052
Js,Jh,A,0.9041
7s,As,7,0.9035
Js,Jh,3,0.90335
6s,As,A,0.90305
5s,5h,5,0.9029
Js,Qs,Q,0.9026
Js,Jh,6,0.90185
6s,As,6,0.9007
5s,As,5,0.8997
7s,As,A,0.8988
Js,Jh,5,0.8986
8s,Ah,A,0.8968
Js,Jh,Q,0.89675
9s,Ah,A,0.8942
Ts,Kh,T,0.89395
Ts,Kh,K,0.89125
9s,Ks,9,0.8897
4s,As,A,0.8894
5s,As,A,0.8884
Ts,Th,3,0.88785
Js,Qs,J,0.88645
Ts,Th,4,0.8832
Ts,Th,5,0.88215
Ts,Th,2,0.88135
Ts,Th,8,0.8811
8s,Ah,8,0.88105
Ts,Th,6,0.88055
Ts,Th,7,0.87985
4s,As,4,0.87935
Ts,Th,9,0.87925
Ts,Qs,Q,0.8786
Ts,Th,K,0.8777
Ts,Qs,T,0.87755
Ts,Th,J,0.87645
Ts,Th,Q,0.8764
8s,Ks,8,0.87405
Ts,Th,A,0.87205
7s,Ah,A,0.86985
7s,Ah,7,0.8688
9s,Qs,Q,0.8673
4s,4h,4,0.8672
8s,Ks,K,0.8652
3s,As,A,0.8644
3s,As,3,0.86395
Ts,Js,J,0.86175
Ts,Qh,Q,0.86095
2s,As,A,0.86065
5s,Ah,A,0.86055
2s,As,2,0.85985
Js,Qh,Q,0.8598
7s,Ks,K,0.85875
9s,9h,4,0.8585
6s,Ah,A,0.8584
Ts,Qh,T,0.8575
9s,Kh,9,0.8564
9s,Kh,K,0.8547
Js,Qh,J,0.85465
9s,Qs,9,0.85125
5s,Ah,5,0.8512
9s,9h,7,0.85025
7s,Ks,7,0.85
9s,9h,2,0.8498
9s,9h,T,0.84935
Ts,Js,T,0.84905
9s,9h,8,0.8471
6s,Ah,6,0.84625
9s,9h,K,0.846
9s,9h,3,0.84335
9s,9h,5,0.843
9s,9h,6,0.84215
9s,9h,J,0.84125
6s,Ks,K,0.8408
8s,Kh,8,0.8407
9s,9h,A,0.84065
8s,Qs,Q,0.8404
6s,Ks,6,0.8396
4s,Ah,4,0.838
4s,Ah,A,0.83535
3s,Ah,3,0.8347
3s,Ah,A,0.83255
9s,9h,Q,0.8321
9s,Qh,9,0.83095
8s,8h,7,0.83005
9s,Js,9,0.82575
7s,Kh,K,0.82545
9s,Js,J,0.82455
5s,Ks,K,0.82435
9s,Qh,Q,0.82345
8s,8h,5,0.82255
7s,Kh,7,0.8222
8s,Qs,8,0.822
8s,Kh,K,0.8195
2s,Ah,A,0.8183
5s,Ks,5,0.818
Ts,Jh,J,0.81775
8s,8h,T,0.8175
4s,Ks,K,0.8171
8s,8h,4,0.81565
Ts,Jh,T,0.8156
8s,8h,Q,0.81535
8s,8h,3,0.81175
2s,Ah,2,0.81085
8s,8h,2,0.8106
8s,8h,J,0.80785
4s,Ks,4,0.80725
3s,Ks,K,0.80595
8s,8h,6,0.8057
8s,8h,9,0.8054
8s,Qh,8,0.80535
8s,8h,A,0.8044
6s,Kh,6,0.80375
8s,Js,8,0.80345
3s,3h,3,0.80315
6s,Kh,K,0.80285
7s,Qs,7,0.8022
3s,Ks,3,0.80215
8s,8h,K,0.8018
7s,Qs,Q,0.79905
8s,Js,J,0.79695
9s,Jh,J,0.7965
9s,Ts,9,0.7956
7s,7h,6,0.79495
9s,Ts,T,0.79495
Ks,As,Q,0.7935
2s,Ks,2,0.7911
6s,Qs,6,0.7903
Ks,As,J,0.7894
5s,Kh,K,0.7893
7s,7h,3,0.789
Ks,As,T,0.78795
7s,7h,5,0.7876
Ks,As,2,0.7861
2s,Ks,K,0.78595
7s,7h,4,0.78485
4s,Kh,4,0.78435
5s,Kh,5,0.7839
Ks,As,8,0.78285
9s,Jh,9,0.78265
Ks,As,3,0.7822
7s,7h,K,0.78045
8s,Qh,Q,0.7796
Ks,As,7,0.77865
7s,7h,Q,0.7784
6s,Qs,Q,0.778
Qs,As,2,0.77795
Ks,As,6,0.7779
Ks,As,4,0.7778
Ks,As,5,0.7776
Qs,As,9,0.777
8s,Ts,8,0.77655
Qs,As,J,0.7756
Qs,As,T,0.7755
Qs,As,3,0.7751
Js,As,5,0.775
