C1,C2,Bounty,Strength
As,Ah,2,0.98
As,Ah,A,0.96375
As,Ah,Q,0.95375
As,Ah,7,0.94875
Ks,Kh,3,0.9475
As,Ah,T,0.93
As,Ah,3,0.92625
As,Ah,5,0.92625
Ks,Kh,5,0.925
Ks,Kh,9,0.92125
Qs,Qh,T,0.915625
Ks,Kh,J,0.9125
Qs,Qh,5,0.91125
As,Ah,K,0.903125
Ks,Kh,A,0.89875
As,Ah,8,0.898125
Js,Jh,3,0.89625
As,Ah,6,0.89625
Js,Jh,7,0.895
As,Ah,9,0.89375
As,Ah,J,0.89125
Qs,Qh,4,0.89
Ks,Kh,T,0.88875
Ks,Kh,Q,0.88625
Ks,Kh,8,0.885
Ks,Kh,K,0.885
Ks,Kh,6,0.88125
Qs,Qh,8,0.871875
Ks,Kh,4,0.87125
Js,Jh,A,0.87
Qs,Qh,A,0.86875
Ks,Kh,2,0.8675
As,Ah,4,0.86375
Js,Jh,6,0.86
Js,Jh,8,0.8575
Qs,Qh,Q,0.854375
Qs,Qh,7,0.8525
Ks,Kh,7,0.8525
Ts,Th,8,0.85125
9s,9h,8,0.84875
Js,Jh,T,0.84625
Js,Jh,K,0.84125
Qs,Qh,2,0.84125
Qs,Qh,9,0.831875
Ts,Th,3,0.83125
Qs,Qh,K,0.82875
Qs,Qh,6,0.825
Js,Jh,9,0.82375
Ts,Th,T,0.8175
Qs,Qh,3,0.8175
Js,Jh,Q,0.815
Qs,Qh,J,0.815
Ts,Th,A,0.81375
Ts,Th,9,0.8125
Js,Jh,J,0.8125
Ts,Th,7,0.809375
Js,Jh,4,0.80375
Js,Jh,5,0.80375
Js,Jh,2,0.80125
Ts,Th,4,0.8
Ks,As,J,0.78875
Ts,Th,Q,0.7875
9s,9h,Q,0.78375
Qs,Ks,T,0.780625
9s,9h,6,0.77875
9s,9h,9,0.775
Ts,As,5,0.774375
Js,As,8,0.773125
Ks,As,A,0.773125
9s,9h,K,0.7725
Ts,Th,2,0.7725
Ts,Th,J,0.7725
Ts,Th,K,0.7725
Ts,As,2,0.77125
Ts,Th,5,0.76625
Js,As,J,0.764375
Js,As,4,0.763125
Qs,As,2,0.761875
Ts,Th,6,0.76
8s,8h,J,0.7575
Ks,As,5,0.75625
9s,9h,A,0.75375
Qs,As,5,0.75375
Ks,Ah,2,0.75375
Js,As,9,0.7525
Ks,Ah,7,0.7525
Js,As,5,0.75
9s,Ks,J,0.74625
Js,Ah,J,0.74625
Qs,As,Q,0.74375
9s,As,J,0.743125
9s,9h,7,0.7425
Qs,As,K,0.73875
9s,9h,3,0.73375
Qs,Ah,Q,0.73375
8s,8h,6,0.7325
4s,As,J,0.73125
9s,As,3,0.73125
Ks,As,Q,0.73125
7s,7h,8,0.730625
Ks,Ah,4,0.728125
6s,6h,T,0.7275
8s,8h,K,0.7275
7s,7h,5,0.726875
8s,8h,3,0.72625
7s,7h,2,0.725625
Js,Ks,6,0.725625
7s,7h,J,0.725
6s,6h,9,0.723125
6s,6h,2,0.7225
Js,Ah,Q,0.7225
9s,9h,2,0.72125
Js,Ah,5,0.72125
Qs,Kh,3,0.72125
Js,Ks,7,0.72
Qs,Ah,2,0.719375
Qs,Ks,5,0.71875
Ts,Qh,J,0.716875
8s,8h,A,0.715
9s,Ah,A,0.715
Js,Kh,8,0.715
Qs,Kh,8,0.715
9s,9h,5,0.714375
Ks,Ah,5,0.71375
Qs,As,7,0.713125
Js,As,A,0.711875
9s,9h,4,0.71125
7s,7h,K,0.71
Ks,As,3,0.71
7s,7h,7,0.708125
Qs,Ah,6,0.708125
5s,5h,A,0.7075
6s,6h,K,0.7075
8s,8h,2,0.7075
Js,As,K,0.7075
8s,As,5,0.706875
Qs,As,T,0.706875
5s,5h,3,0.70625
7s,Ah,Q,0.70625
8s,8h,5,0.70625
Ts,Ks,4,0.70625
Ts,As,J,0.705625
Qs,As,8,0.705625
7s,As,J,0.704375
9s,As,2,0.704375
Js,Ks,4,0.704375
Js,Ah,7,0.70375
Qs,Kh,4,0.70375
Ks,As,K,0.703125
6s,6h,6,0.7025
Ts,As,9,0.7025
Js,As,7,0.701875
Qs,Ks,7,0.70125
Ks,As,6,0.70125
