opening_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
K,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
Q,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
J,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
T,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,0.8,0.8,0.8,0.8,0.8,0.9,1,1,1,1,,1,1,1,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1
4,1,1,0.8,0.3,0.3,0.3,0.3,0.5,0.8,0.9,1,1,1,,1,1,0.9,0.5,0.5,0.5,0.3,0.3,0.9,1,1,1,1
3,1,0.8,0.3,0,0,0,0,0.3,0.5,0.8,0.6,1,1,,1,1,0.8,0.05,0.05,0.05,0.05,0.5,0.3,0.9,0.9,1,1
2,1,0.8,0.3,0,0,0,0,0,0.1,0.1,0.1,0.1,1,,1,1,0.8,0.05,0,0,0,0,0.5,0.3,0.3,0.3,1
BB_call_range,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0,0,0,0,0,0,0.25,0.35,0.35,0.25
K,0,0,0,0,0,0.25,0.5,0.5,0.65,0.65,0.8,0.8,0.8,,0,0,0,0,0,0,0,0.15,0.2,0.2,0.4,0.4,0.4
Q,0,0.5,0,0,0,0.25,0.5,0.5,0.65,0.65,0.8,1,1,,0,0.2,0,0,0,0,0,0.15,0.2,0.4,0.4,1,1
J,0.5,0.7,0.6,0,0,0.25,0.5,0.5,0.65,0.8,1,1,1,,0.2,0.4,0.4,0,0,0,0,0.15,0.2,0.4,1,1,1
T,0.8,0.8,0.7,0.8,0,0,0,0.5,0.65,0.8,1,1,1,,0.5,0.5,0.6,0.5,0,0,0,0.15,0.2,0.4,1,1,1
9,0.8,0.8,0.8,0.8,0.8,0,0,0.25,0.5,0.8,1,1,1,,0.6,0.6,0.6,0.6,0.6,0,0,0.1,0.5,0.2,1,1,1
8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0.25,0.5,0.8,1,1,,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0.25,0.5,0.4,1,1
7,1,1,1,1,1,1,0.9,0.5,0,0.25,0.5,0.8,1,,1,1,1,1,1,1,0.4,0.3,0,0.25,0.5,0.4,1
6,1,1,1,1,1,1,1,1,0.5,0,0.25,0.5,1,,1,1,1,1,1,1,1,0.9,0.3,0,0.25,0.5,1
5,1,1,0.7,0.6,0.55,0.45,0.35,0.8,0.9,0.5,0,0.25,1,,1,1,1,0.9,0.9,0.9,0.9,0.8,0.7,0.3,0,0.25,1
